"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071675","regulation of mononuclear cell migration","10/416","147/18986",0.0680272108843537,3.10472265829409,3.8341635567448,0.00151539264568706,0.101413621940816,0.0912467785984559,"CCN3/CCL5/IL34/ECM1/SERPINE1/TMEM102/PLCB1/GAS6/DOCK8/BMP5",10
"GO:0050974","detection of mechanical stimulus involved in sensory perception","5/416","39/18986",0.128205128205128,5.85120808678501,4.53897712147735,0.0015369581501513,0.101413621940816,0.0912467785984559,"BACE1/PHF24/SCN1A/PDZD7/HPN",5
"GO:0021675","nerve development","8/416","100/18986",0.08,3.65115384615385,3.97842295475962,0.00159657116108914,0.103620085684458,0.0932320415724877,"SCN8A/EPHB2/VCAM1/MAFB/ARK2C/LRIT3/NRTN/SCN1A",8
"GO:0002790","peptide secretion","14/416","257/18986",0.0544747081712062,2.4861942532176,3.59030098868175,0.00168031948662516,0.105477836539723,0.094903550564449,"GNAO1/CCN3/SYT7/SLC16A2/CCL5/RFX3/GNAZ/IL6/INHBB/IL1RN/HNF4A/AQP1/PLCB1/CPE",14
"GO:0072574","hepatocyte proliferation","4/416","24/18986",0.166666666666667,7.60657051282051,4.8471408361209,0.00170512289430216,0.105477836539723,0.094903550564449,"TNFAIP3/TGFA/IL6/HPN",4
"GO:0072575","epithelial cell proliferation involved in liver morphogenesis","4/416","24/18986",0.166666666666667,7.60657051282051,4.8471408361209,0.00170512289430216,0.105477836539723,0.094903550564449,"TNFAIP3/TGFA/IL6/HPN",4
"GO:0001558","regulation of cell growth","19/416","408/18986",0.0465686274509804,2.12536529034691,3.43930057675146,0.00176346089043937,0.107408333311531,0.0966405126031878,"CCN3/CRYAB/CLSTN3/CDKN1A/EAF2/SEMA5A/HNF4A/COL14A1/PAPPA2/S100A9/IGFBP5/FN1/MAPT/KRT17/RASGRP2/TRPV2/HPN/BDKRB1/APOE",19
"GO:0006820","monoatomic anion transport","11/416","177/18986",0.0621468926553672,2.83634832681443,3.67370989272022,0.00185659571871827,0.111367612884934,0.100202869412163,"ABCB1/SLC1A1/CLCA2/CLIC3/SLC12A8/ABCC6/CLCN4/LRRC8B/SLC4A3/PDZK1/FXYD1",11
"GO:0046879","hormone secretion","16/416","319/18986",0.0501567398119122,2.28912466843501,3.475353700379,0.00190039866225173,0.112293706027681,0.101036120550822,"GNAO1/CCN3/SELENOM/SYT7/SLC16A2/CCL5/RFX3/GNAZ/C1QTNF1/IL6/INHBB/IL1RN/HNF4A/AQP1/PLCB1/CPE",16
"GO:0002687","positive regulation of leukocyte migration","10/416","152/18986",0.0657894736842105,3.00259362348178,3.71013193820349,0.00194376799452775,0.112841080504727,0.10152862004706,"CCL5/IL34/IL6/IL1R1/SERPINE1/FUT4/TMEM102/GAS6/DOCK8/BDKRB1",10
"GO:2000659","regulation of interleukin-1-mediated signaling pathway","3/416","12/18986",0.25,11.4098557692308,5.39885795677808,0.00198292697656609,0.112841080504727,0.10152862004706,"IL6/IL1R1/IL1RN",3
"GO:0070233","negative regulation of T cell apoptotic process","4/416","25/18986",0.16,7.30230769230769,4.71938058927163,0.00199516939513283,0.112841080504727,0.10152862004706,"CCL5/RORC/ARG2/DOCK8",4
"GO:0007596","blood coagulation","13/416","234/18986",0.0555555555555556,2.5355235042735,3.53741989718082,0.00204475499310656,0.114016690390266,0.10258637356075,"VTN/EPHB2/C1QTNF1/IL6/GP6/ENTPD2/SERPINE1/ADRA2B/HNF4A/DGKG/TSPAN8/GAS6/APOE",13
"GO:0042327","positive regulation of phosphorylation","21/416","479/18986",0.0438413361169102,2.00089328729725,3.3207297653369,0.00215612564063982,0.118556964045737,0.106671479063233,"CD24/VTN/C3/GPNMB/CSPG4/CCL5/TGFA/ITLN1/IL34/TCIM/IL6/EGF/CDKN1A/MAPRE3/ADRA2B/PECAM1/PELI2/ANG/KNDC1/GAS6/MAPT",21
"GO:0072576","liver morphogenesis","4/416","26/18986",0.153846153846154,7.02144970414201,4.59848299481015,0.00231760591218867,0.125690435703492,0.113089811201823,"TNFAIP3/TGFA/IL6/HPN",4
"GO:0006936","muscle contraction","17/416","358/18986",0.0474860335195531,2.16723517404383,3.33705050202894,0.00246980709225027,0.130704622456839,0.117601319417169,"CACNA1H/GNAO1/CRYAB/GSN/SCN8A/BDKRB2/MYLK/HTR1D/SPX/HCN4/GJA5/ADRA2B/APBB1/ARG2/SCN4B/SCN1A/FXYD1",17
"GO:0003014","renal system process","9/416","132/18986",0.0681818181818182,3.11177884615385,3.64401086851412,0.00253260657422015,0.130704622456839,0.117601319417169,"TMEM63C/GSN/SLC15A2/CORO2B/SPX/AVPR2/GJA5/AQP1/GAS6",9
"GO:0098773","skin epidermis development","9/416","132/18986",0.0681818181818182,3.11177884615385,3.64401086851412,0.00253260657422015,0.130704622456839,0.117601319417169,"COL6A1/DLX3/CLDN1/DKK1/ALOX12B/IGFBP5/KRT17/WNT10A/KRT16",9
"GO:0045765","regulation of angiogenesis","17/416","360/18986",0.0472222222222222,2.15519497863248,3.31201852852838,0.00261566045435403,0.130704622456839,0.117601319417169,"SPARC/C3/GPNMB/TNFAIP3/COL4A3/S100A1/ECM1/IL6/ISM1/SEMA5A/SERPINE1/APELA/CDH5/CLIC3/AQP1/CCR3/JCAD",17
"GO:0050817","coagulation","13/416","241/18986",0.0539419087136929,2.461877593361,3.41839955032315,0.00264309445284204,0.130704622456839,0.117601319417169,"VTN/EPHB2/C1QTNF1/IL6/GP6/ENTPD2/SERPINE1/ADRA2B/HNF4A/DGKG/TSPAN8/GAS6/APOE",13
"GO:0009636","response to toxic substance","14/416","270/18986",0.0518518518518519,2.3664886039886,3.38475619813458,0.00264533441980309,0.130704622456839,0.117601319417169,"ABCB1/FBLN5/CCL5/SLC15A2/COL6A1/INMT/CDKN1A/CLDN1/INHBB/GJC2/PTGS1/S100A9/PDZK1/APOE",14
"GO:0008016","regulation of heart contraction","12/416","213/18986",0.0563380281690141,2.57123510292524,3.4515180502348,0.00267301658837558,0.130704622456839,0.117601319417169,"CACNA1H/GNAO1/S100A1/SLC1A1/SPX/HCN4/GJA5/APELA/TRPC1/SCN4B/SLC4A3/FXYD1",12
